,purchase_bins_encoded,weekday_encoded,email_text_encoded,email_version_encoded,user_country_encoded,hour
59849,0,5,1,1,1,15
83401,0,2,0,0,0,6
50056,0,2,0,1,1,18
67017,0,5,0,1,0,12
63337,0,5,0,0,0,11
91358,0,4,1,0,1,7
207,0,0,1,0,1,1
15591,0,5,0,1,0,6
43047,0,2,1,1,2,12
5986,0,6,0,0,1,11
47497,3,2,0,1,0,12
89806,3,2,1,0,2,6
8352,0,6,1,1,1,14
28096,0,1,1,0,0,15
74292,0,6,1,1,0,16
18127,0,1,1,1,0,10
41622,3,1,1,0,2,4
18833,0,0,1,1,3,6
61234,0,6,1,1,0,6
84987,0,6,1,1,1,6
93088,0,4,0,1,0,20
2186,0,1,1,1,0,7
93111,3,2,1,1,3,7
65035,0,0,0,0,0,5
70712,0,2,0,1,0,16
92508,0,0,0,1,1,9
73803,0,3,0,1,0,2
15825,3,0,1,0,0,13
55693,0,6,0,0,1,9
97092,0,5,0,0,3,4
73012,0,2,1,0,0,10
73231,3,4,0,1,0,5
20797,0,6,1,1,0,8
6228,0,3,1,1,0,7
94960,0,6,0,0,2,12
16422,3,5,0,1,3,8
33789,0,2,1,1,3,13
69550,0,0,0,0,3,6
32297,3,5,0,0,0,5
96100,0,0,0,1,0,5
80442,0,4,1,0,0,11
80263,0,5,1,0,0,12
46614,0,0,1,0,0,13
45220,0,1,1,0,0,9
89101,0,0,1,0,2,6
71447,3,2,0,1,2,9
99596,0,4,0,1,0,8
47887,0,2,0,1,0,16
31885,0,0,0,0,0,4
23444,0,6,0,1,3,5
3559,3,4,0,1,1,9
55941,3,2,1,0,1,8
41096,3,2,1,0,0,3
44530,0,3,1,0,0,8
15550,1,3,0,1,0,13
44546,0,1,1,0,2,11
98122,0,5,0,0,0,10
18511,0,2,1,0,0,4
50741,3,2,0,0,0,7
593,0,5,1,1,1,3
18192,3,1,1,0,0,21
24039,0,4,0,0,0,10
34785,0,3,0,1,2,10
83025,0,5,1,1,0,6
43259,0,1,1,1,0,14
45707,0,2,0,0,0,13
12955,0,4,0,0,3,12
71467,0,5,0,0,0,3
28749,0,4,0,1,0,11
